Document,Transcription,Consignment,Artist Name 1,Artist Name 2,Artist Name 3,Artist Name 4,Artist Name 5,Owner Name 1,Owner Name 2,Owner Name 3,Owner Name 4,Owner Name 5,Beneficiaries,Title,Subject/Genre,Subject/ICON,Object Type,Document Type,Object Notes,Inscription,Transaction,Date or Range,Document Origin,Residence,Room,Entry Date,Purchase Loc,Sale Date,Auction House,Sale Location,Purchase Price,KnoedShare Price,Dealer Cost,Sale Price,KnoedSale Price,Seller(s),Buyer(s),Joint Owner(s),Prev Owner(s),Prev Sales,Post Owner(s),Post Sales,Present Loc,Expert,Comm-Priseur,Lugt Number,Number of Lots,Notes,Catalog Loc(s),Photocopies,Editor Notes,Introduction,Archive Record,Related Doc(s),Further Notes,Bibliography,Appraiser,Notary,Pubication,Contributor,Other Invent(s),Annotations,Column 64,Column 65
"Sales Catalog Br-4544, Lot 0014",,,BEELDEMAKER (Dutch) -- from catalog: Beeldermacker,,,,,,,,,,,"A garden scene, with dogs; spiritedly painted",,,Painting,,,,Sold,,,,,,,1836 Feb 13,Christie's,"London, England, UK",,,,0-14 pounds,,"Doyle. Charles William, Sir;  -- from catalog: Doyle",Adams;  -- from catalog: Adams,,,,,,,,,14214,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4544, Lot 0112",,,"SNYDERS, FRANS (Flemish) -- from catalog: Snyders",,,,,,,,,,,"Dogs and a cat, in a larder",,,Painting,,,,Sold,,,,,,,1836 Feb 13,Christie's,"London, England, UK",,,,11-11 pounds,,Belville;  -- from catalog: Belville,Perkins;  -- from catalog: Perkins,,,,,,,,,14214,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4544, Lot 0115",,,"SNYDERS, FRANS (Flemish) -- from catalog: Snyders",,,,,,,,,,,Dogs and cats fighting,,,Painting,,,,Sold,,,,,,,1836 Feb 13,Christie's,"London, England, UK",,,,4-10 pounds,,Belville;  -- from catalog: Belville,Perkins;  -- from catalog: Perkins,,,,,,,,,14214,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4556, Lot 0072",,,"REYNOLDS, JOSHUA (British) -- from catalog: Sir J. Reynolds",,,,,,,,,,,A study of dogs,,,Painting,,,,Bought In,,,,,,,1836 Mar 5,Christie's,"London, England, UK",,,,1-0 pounds,,Hixon;  -- from catalog: Hixon,,,,,,,,,,14241,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4556, Lot 0106",,,"GRYEF, ADRIAEN DE (Flemish) -- from catalog: Gryeff",,,,,,,,,,,A sportsman with dead game and dogs -- the companion (companion to lot 105 by Dou),,,Painting,,,,Sold,,,,,,,1836 Mar 5,Christie's,"London, England, UK",,,,3-3 pounds,,Smith;  -- from catalog: Smith,Fuller;  -- from catalog: Fuller,,,,,,,,,14241,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4556, Lot 0110",,,"VELÁZQUEZ, DIEGO RODRÍGUEZ DE SILVA Y (Spanish) -- from catalog: Velasquez",,,,,,,,,,,"Two dogs, size of life; very spirited",,,Painting,,,,Sold,,,,,,,1836 Mar 5,Christie's,"London, England, UK",,,,5-10 pounds,,Smith;  -- from catalog: Smith,Tippin;  -- from catalog: Tippin,,,,,,,,,14241,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4561, Lot 0102",,,WOUWERMAN (Dutch) -- from catalog: Wouvermans,,,,,,,,,,,"A View of the Dunes, or Sand-hills, near Haerlem.  The barren scene is intersected on the left by a rivulet, in which two travellers are watering their steeds; beyond them are three men angling, a boy bathing, and two other boys on the opposite bank; a sportsman, preceded by two dogs, is approaching the front; a high sand-bank, crowned with a few stunted trees, bounds the view on the left, and winds into the distant country, which presents a continuity of the same sterility.  This is a good example of the master. From the collection of Baron Lockhorst, at Rotterdam.  See Mr. Smith's Catalogue Raisonnée, No. 485",,,Painting,,,,Sold,,,,,,,1836 Mar 12,Christie's,"London, England, UK",,,,159-12 pounds,,"Stuart, James, Sir, Bt.;  -- from catalog: Sir James Stuart Bart",Norton;  -- from catalog: Norton,,"Lockhorst, Baron [from Catalogue: Baron Lockhorst, at Rotterdam]",,,,,,,14250,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4575, Lot 0090",,,MOUCHERON (Dutch) -- from catalog: Moucheron,,,,,,,,,,,"A sportsman with his dogs at a fountain, surmounted by a sculptured vase; with a rich glow of sunshine",,,Painting,,,,Bought In,,,,,,,1836 Mar 26,Christie's,"London, England, UK",,,,9-19 pounds,,Teale;  -- from catalog: Teale,,,,,,,,,,14272,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4747, Lot 0022",,,WOUWERMAN (Dutch) -- from catalog: Wouvermans,,,,,,,,,,,"An Upright Landscape, with a mounted cavalier attended by a man, with dogs on a road under a sandy bank, on which is a shed, a distant landscape seen to the left; a charming picture, engraved",,,Painting,,upright,,Sold,,,,,,,1837 May 13,Christie's,"London, England, UK",,,,45-0 pounds,,"Pringle, John, Sir;  -- from catalog: Sir John Pringle Bart",Gritten;  -- from catalog: Gritten,,,,,,,,,14714,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4742, Lot 0111",,,"SNYDERS, FRANS (Flemish) -- from catalog: Snyders",,,,,,,,,,,"A wild boar and pigs attacked by dogs, in a landscape; very spirited",,,Painting,,,,Sold,,,,,,,1837 May 6,Christie's,"London, England, UK",,,,18-18 pounds,,"Wenlock, Ld;  -- from catalog: Ld Wenlock",Norton;  -- from catalog: Norton,,,,,,,,,14702,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4594, Lot 0098",,,"NEER, EGLON HENDRIK VAN DER (Dutch) -- from catalog: Eglon Van der Neer",,,,,,,,,,,"Venus crowning Adonis with flowers, and Cupid with her car and dogs in attendance, in a richly-wooded landscape",,,Painting,,,,Bought In,,,,,,,1836 Apr 23,Christie's,"London, England, UK",,,,63 1/2 guineas,,"Houlton, John D.;  -- from catalog: Houlton",,,,1835/05/08 LOHOA 0040 ROBINS Br-4420,,1837/06/24 LOCH 0120 HOULTON Br-4771,"Glasgow, Scotland, UK. Art Gallery and Museum, 59",,,14317,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4742, Lot 0100",,,"HACKAERT, JAN (Dutch) -- from catalog: Hackaert",,,,,,,,,,,Portraits of two dogs; and a goat -- a pair,,,Painting,,,,Sold,,,,,,,1837 May 6,Christie's,"London, England, UK",,,,2-9 pounds,,"Wenlock, Ld;  -- from catalog: Ld Wenlock",Fuller;  -- from catalog: Fuller,,,,,,,,,14702,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4711, Lot 0081",,,"Bryder, van -- from catalog: Van Bryder",,,,,,,,,,,"Diana and nymphs, reposing after the chase, with dogs and game",,,Painting,,,,Sold,,,,,,,1837 Feb 25,Christie's,"London, England, UK",,,,1-13 pounds,,"Salt, F. [?];  -- from catalog: Salt F [?]",Lewis;  -- from catalog: Lewis,,,,,,,,,14591,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4704, Lot 0092",,,WYCK (Dutch) -- from catalog: Wyck,,,,,,,,,,,"A rocky landscape, with a mounted cavalier and lady halting for refreshment, with attendants and dogs",,,Painting,,,,Bought In,,,,,,,1837 Feb 11,Christie's,"London, England, UK",,,,4-0 pounds,,"Yates, George;  -- from catalog: Yates",,,,,,,,,,14574,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4711, Lot 0107",,,"MORLAND, GEORGE (British) -- from catalog: Morland",,,,,,,,,,,"A view of the sea coast, sportsmen with dogs shooting gulls in the foreground (companion to lot 108)",,,Painting,,,,Bought In,,,,,,,1837 Feb 25,Christie's,"London, England, UK",,,,10 1/2 guineas,,"Scott, Thompson;  -- from catalog: Late Thompson Scott Esq",,,,,,,,,,14591,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4608, Lot 0053",,,"BALEN, HENDRIK VAN (I) (Flemish) -- from catalog: Van Balen",,,,,,,,,,,"Nymphs returning from the chase, with dogs and dead game, in a woody landscape",,,Painting,,,,Sold,,,,,,,1836 May 13 - 1836 May 14 (This Lot: May 13),Christie's,"London, England, UK",,,,2-12 pounds,,"Wastie, John;  -- from catalog: John Wastie Esq",Sheath;  -- from catalog: Sheath,,,,,,,,,14353,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4620, Lot 0098",,,"HONDIUS, ABRAHAM (Dutch) -- from catalog: Hondius",,,,,,,,,,,Dogs attacking a wounded heron,,,Painting,,,,Bought In,,,,,,,1836 Jun 4,Christie's,"London, England, UK",,,,,,Bruce;  -- from catalog: Bruce,,,,,,,,,,14381,,,This lot was bought in with lot 87 by Hondius.,,,,,,,,,,,,,,,
"Sales Catalog Br-4620, Lot 0087",,,"HONDIUS, ABRAHAM (Dutch) -- from catalog: Hondius",,,,,,,,,,,Dogs and a hawk attacking a crane; and the companion.,,,Painting,,,,Bought In,,,,,,,1836 Jun 4,Christie's,"London, England, UK",,,,13 guineas (for lots 87 & 98),,Bruce;  -- from catalog: Bruce,,,,,,,,,,14381,,,,,,,,,,,,,,,,,,
"Sales Catalog Br-4608, Lot 0024[a]",,,[ANONYMOUS - MODERN] (Unknown) -- from catalog: Modern,,,,,,,,,,,"Dogs, in a landscape; and two other landscapes (THIS LOT: Dogs, in a landscape; lot 24[b] by Anonymous)",,,Painting,,,,Sold,,,,,,,1836 May 13 - 1836 May 14 (This Lot: May 14),Christie's,"London, England, UK",,,,1-11 pounds (for lots 24[a] & 24[b]),,"Wastie, John;  -- from catalog: John Wastie Esq",Lawford;  -- from catalog: Lawford,,,,,,,,,14353,,,,,,,,,,,,,,,,,,
