PDF_Page,Page_Num,Item_Num,On_Web,Artist_Name,Artist_Info,Desc_Num,Description,Title_  Modifier,Handwritten_Notes,Genre,Subject,Object_Type,Material,Dimensions,Image,Notes,Date_of_Sale,Verbatim_Seller,Estimated _Price,Starting _Price,Frame _Price,Selling _Price,Currency,Verbatim_Buyer,Transaction,Main Heading
31,31,1,NO,Taddeo Bartoli,Sienese School,1,"Born in Siena about 1363 ; died there 1422. He was the son of a barber. The earliest specimen of his work is now in the Louvre and is an altar-piece of the Virgin and Saints  painted for San Paolo of Pisa, dated 1390.  He painted other altar-pieces and frescoes at Pisa, Genoa, and Siena. Although he main-  tained the standard of the Sienese School by his excellent paintings, he did not cause any  progress to be made. ",,,,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
32,32,1a,YES,Taddeo Bartoli,,1a.,"""The Adoration"" The Virgin is sitting in the upper part of the picture with her hands raised in  an attitude of suppHcation. Surrounding her head are angels with red wings  outstretched. Below these there are other angels, numbering nineteen in all.  At the bottom of the picture at right and left, kneeling with upturned heads  and eyes, are two figures. Between these two figures is the following inscrip-  tion in ancient Latin: ""Andreas Bartoli de magisri fredi de senis pinxit hoc  opus fecit fieri dmia honesta uxor qdam Ser Palamides de Urbino pro aiabus  diti uiri sui Matheifilii exode.""  From the collection of the Baron Lazzaroni, Lazzaroni, Rome.  Panel, half round top, 33,5 in. long by 79,5 in. high",,,,,Painting,Wood,"33,5 in long x 79,5 in high",,,1910/04/05,,,,,,,,,Paintings by Old Masters
35,35,2,NO,Ferdinand Bol,Dutch School,2,"Born at Dordrecht in 1611 ; died in Amsterdam in 1681. He went when a child to Amsterdam, his future home, studied under Rembrandt, was made a citizen, and mar-  ried in 1653 Elizabeth Dell. ",,,,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
36,36,2a,YES,Ferdinand Bol,,2a.,"Portrait Of A Man"" The picture is half length, representing a man sitting upon a table with his  hands one over the other. He wears a velvet hat, and a velvet cloak trimmed  with fur thrown over his shoulders. He has a mustache and imperial. The  picture has often been taken for a Rembrandt, but the owner is very sure it is  a Bol.  Canvas, 28,5 in. long by 34,5 in. high. ",,,Portrait,,Painting,Canvas,"28,5 in long x 34,5 in high",,,1910/04/05,,,,,,,,,Paintings by Old Masters
39,39,3,NO,Jan Both,Dutch School,3,"Born at Utrecht, 1610; died after 1662. Pupil of his father, who was a glass painter. He adopted the manner of Claude Lorrain. His brother, Andries, painted figures and  animals in his pictures. ",,,,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
40,40,3a,YES,Jan Both,,3a.,"Sunset"" The sun has just descended behind the high hills in the distance. Its light is  reflected, not only on the horizon, but over the entire landscape. A train of  pack-mules in charge of two drivers - painted by Andries Both - are winding  their way along a rocky road. Large trees are on the right of the picture,  while to the left the landscape stretches out in the distance.  From the Armengand collection.  Signed in lower right-hand corner : "" J. Both.""  Canvas, 21,5 in. long by 16,5 in. high. ",,,Landscape,,Painting,Canvas,"21,5 in long x 16,5 in high",,,1910/04/05,,,,,,,,,Paintings by Old Masters
43,43,4,NO,"Alessandro Botticelli, Sandro",Florentine School,4,"Born in Florence 1446; died there May 17, 15 10. His real name was Alessandro di Mariano Filipepi, but he took the name of Botticelli  from his master goldsmith, to whom he was apprenticed.  In 1469 he was considered the best master in Florence. He is the only contemporary  whom Leonardo da Vinci mentions by name in his treatise on painting. ",,,,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
44,44,4a,YES,"Alessandro Botticelli, Sandro",,4a.,"""Madonna And Child, St. John And An Angel"" This is a circular picture containing Christ in the arms ot the Virgin Mary.  On one side is St. John the Baptist and on the other an angel. Over the Vir-  gin's head falls a light scarf, part of which entwines the head of the Infant  Christ. The Virgin's dress is of dark crimson, and over this is thrown a dark  hlue cloak. St. John is on the left side of the picture in the attitude of prayer,  while the angel standing with his hands folded is adoring the Christchild.  From Gallery del Nero, Rome.  Painted in distemper on panel, 29 in. in diameter. ",,,,,Painting,Wood,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
47,47,5,NO,Francois Boucher,French School,5,"Born in Paris, September 29, 1703 ; died there May 30, 1770. Mostly self-taught. Obtained the first prize at the Academy, 1723. Became Professor in the Academy, 1737; Director in 1765. Was appointed First Painter to the King after the death of  Carl van Loo. ",,,,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
48,48,5a,YES,Francois Boucher,,5a.,"""The Toilet Of Venus"" Surrounded by Cupids and her attendants, Venus has submitted herself for her  toilet. She is nude, and is gazing into a looking-glass supported by a piece of  blue ribbon held in the hands of one of the Cupids. Another Cupid lies on  the ground in front of her ; an attendant is arranging pearls in her hair ; while  another, with back turned, holds a string of the same ornaments. In the rear  the face of another attendant can be seen. To the right is a casket filled with  jewels. In the foreground two doves are "" billing.""  Collection, Prince Demidoff, i 870.  Signed on the right-hand side : "" F. Boucher, 1742.""  Canvas, 58 in. long by 49 in. high. ",,,,,Painting,Canvas,58 in long x 49 in high,,,1910/04/05,,,,,,,,,Paintings by Old Masters
51,51,6,NO,Dirck Bouts,Dutch School,6,"Born 1440; died May 6, 1475. Called also Stuerbout. His family settled in Louvain about 1450. History painter of great merit of the Van Eyclc school, of which he is  almost unequaled in glowing depth and transparent clearness of color. ",,,,,,,,,,1910/04/05,,,,,,,,,Paintings by Old Masters
